Gender,Total Count,Sch_Div
Female,371,Riverview Elementary/Middle Buchanan County Public Schools
Male,355,Riverview Elementary/Middle Buchanan County Public Schools
Female,126,Twin Valley Elementary/Middle Buchanan County Public Schools
Male,152,Twin Valley Elementary/Middle Buchanan County Public Schools
Female,90,Twin Valley High Buchanan County Public Schools
Male,108,Twin Valley High Buchanan County Public Schools
Female,199,Buckingham Co Elementary Buckingham County Public Schools
Male,213,Buckingham Co Elementary Buckingham County Public Schools
Female,37,Buckingham Co Prekindergarten Center Buckingham County Public Schools
Male,51,Buckingham Co Prekindergarten Center Buckingham County Public Schools
Female,152,Buckingham Co Primary Buckingham County Public Schools
Male,181,Buckingham Co Primary Buckingham County Public Schools
Female,289,Buckingham County High Buckingham County Public Schools
Male,307,Buckingham County High Buckingham County Public Schools
Female,262,Buckingham County Middle Buckingham County Public Schools
Male,242,Buckingham County Middle Buckingham County Public Schools
Female,89,Enderly Heights Elementary Buena Vista City Public Schools
Male,96,Enderly Heights Elementary Buena Vista City Public Schools
Female,101,F.W. Kling Jr. Elementary Buena Vista City Public Schools
Male,132,F.W. Kling Jr. Elementary Buena Vista City Public Schools
Female,160,Parry McCluer High Buena Vista City Public Schools
Male,185,Parry McCluer High Buena Vista City Public Schools
Female,47,Parry McCluer Middle Buena Vista City Public Schools
Male,77,Parry McCluer Middle Buena Vista City Public Schools
Female,246,Altavista Elementary Campbell County Public Schools
Male,244,Altavista Elementary Campbell County Public Schools
Female,344,Altavista High Campbell County Public Schools
Male,358,Altavista High Campbell County Public Schools
Female,203,Brookneal Elementary Campbell County Public Schools
Male,208,Brookneal Elementary Campbell County Public Schools
Female,481,Brookville High Campbell County Public Schools
Male,519,Brookville High Campbell County Public Schools
Female,367,Brookville Middle Campbell County Public Schools
Male,367,Brookville Middle Campbell County Public Schools
Female,199,Concord Elementary Campbell County Public Schools
Male,212,Concord Elementary Campbell County Public Schools
Female,293,Leesville Road Elementary Campbell County Public Schools
Male,305,Leesville Road Elementary Campbell County Public Schools
Female,215,Rustburg Elementary Campbell County Public Schools
Male,223,Rustburg Elementary Campbell County Public Schools
Female,401,Rustburg High Campbell County Public Schools
Male,404,Rustburg High Campbell County Public Schools
Female,286,Rustburg Middle Campbell County Public Schools
Male,319,Rustburg Middle Campbell County Public Schools
Female,341,Tomahawk Elementary Campbell County Public Schools
Male,351,Tomahawk Elementary Campbell County Public Schools
Female,196,William Campbell High Campbell County Public Schools
Male,210,William Campbell High Campbell County Public Schools
Other,1,William Campbell High Campbell County Public Schools
Female,292,Yellow Branch Elementary Campbell County Public Schools
Male,269,Yellow Branch Elementary Campbell County Public Schools
Female,362,Bowling Green Elementary Caroline County Public Schools
Male,374,Bowling Green Elementary Caroline County Public Schools
Female,573,Caroline High Caroline County Public Schools
Male,645,Caroline High Caroline County Public Schools
Female,499,Caroline Middle Caroline County Public Schools
Male,473,Caroline Middle Caroline County Public Schools
Female,423,Lewis and Clark Elementary Caroline County Public Schools
Male,448,Lewis and Clark Elementary Caroline County Public Schools
Female,215,Madison Elementary Caroline County Public Schools
Male,226,Madison Elementary Caroline County Public Schools
Female,515,Carroll County High Carroll County Public Schools
Male,537,Carroll County High Carroll County Public Schools
Female,359,Carroll County Middle Carroll County Public Schools
Male,407,Carroll County Middle Carroll County Public Schools
Female,76,Fancy Gap Elementary Carroll County Public Schools
