Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Unity Reed High Prince William County Public Schools,764,"1,689","1,617",701,"2,450",3,"2,442",11,"2,047",406,"1,175","1,277",1,0.122299225,5.584997962,13.65674684,66.44924582,0.163065634,3.913575214,10.1100693,28,1,70,60.7,13560,32668515,1094,2450,44.65,Medium Poverty,Non-Title I,8.3,4.8,1.2,84.6
Varina High Henrico County Public Schools,473,"1,058","1,515",16,"1,523",8,"1,512",19,"1,205",326,709,822,0,0.522534291,0.522534291,71.39124755,5.029392554,0.130633573,5.029392554,17.37426519,46,0,50,52.4,11350,16591475,476,1517,31.38,Medium Poverty,Non-Title I,0.9,2.7,0.0,92.2
Virginia High Bristol City Public Schools,237,402,631,,637,2,630,,541,98,310,329,0,0.156494523,1.251956182,8.294209703,4.851330203,0.156494523,7.042253521,78.24726135,48,4,40,80.0,17180,10854442,247,626,39.46,High Poverty,Non-Title I,0.0,9.0,0.0,84.4
Wakefield High Arlington County Public Schools,"1,442","1,325","1,981",513,"2,760",7,"2,747",20,"2,224",543,"1,329","1,435",3,0.18070112,6.722081677,18.68449584,43.15142754,0.108420672,4.915070473,26.23780267,19,5,76,41.1,17778,48239709,503,2749,18.3,Medium Poverty,Non-Title I,3.5,0.0,0.0,93.6
Warhill High Williamsburg-James City County Public Schools,901,433,"1,303",27,"1,331",3,"1,319",15,"1,107",227,663,670,1,0.59970015,1.949025487,17.91604198,11.69415292,0.149925037,9.370314843,58.32083958,28,4,64,26.0,12970,16388780,335,1328,25.23,Low Poverty,Non-Title I,5.2,5.2,3.0,97.1
Warren County High Warren County Public Schools,544,307,827,21,849,2,850,,722,129,377,473,1,0.470035253,1.175088132,3.407755582,9.165687427,0.470035253,5.170387779,80.14101058,45,1,51,36.2,13891,11564800,288,839,34.33,Medium Poverty,Non-Title I,6.1,9.8,2.4,94.3
Warwick High Newport News City Public Schools,737,886,"1,586",14,"1,620",3,"1,618",,"1,420",203,848,775,0,0.308071473,2.033271719,50.21565003,14.72581639,0.369685767,5.914972274,26.43253235,35,2,48,76.5,13714,21616852,637,1580,40.32,High Poverty,Non-Title I,6.8,16.1,4.2,94.6
Washington-Liberty High Arlington County Public Schools,"1,686",865,"2,016",323,"2,550",1,"2,549",,"2,153",398,"1,288","1,262",1,0.117600941,8.663269306,7.252058016,31.67385339,0.0,6.781654253,45.51156409,25,3,70,29.6,17988,45240263,397,2551,15.56,Low Poverty,Non-Title I,6.4,1.7,1.2,93.9
West Potomac High Fairfax County Public Schools,"1,418","1,271","2,132",433,"2,683",6,"2,682",,"2,261",428,"1,326","1,363",0,0.18594273,6.359241354,16.25139457,38.41576794,0.148754184,3.867608776,34.77129044,26,3,69,42.3,17657,47234878,763,2680,28.47,Medium Poverty,Non-Title I,5.8,12.0,1.9,94.9
West Springfield High Fairfax County Public Schools,"2,156",422,"2,411",98,"2,576",2,"2,573",,"2,203",375,"1,254","1,316",8,0.426687355,14.04189294,11.67571761,17.45539178,0.155159038,8.068269977,48.1768813,32,2,65,15.0,15354,39406948,279,2567,10.87,Low Poverty,Non-Title I,4.1,10.5,0.6,99.0
Western Albemarle High Albemarle County Public Schools,"1,024",133,"1,147",,"1,156",1,"1,153",,"1,024",133,535,622,0,0.259291271,3.45721694,1.555747623,5.963699222,0.086430424,3.370786517,85.306828,35,1,62,10.6,15202,17295806,145,1140,12.72,Low Poverty,Non-Title I,5.1,2.0,2.0,97.9
Western Branch High Chesapeake City Public Schools,"1,283",851,"2,102",21,"2,132",2,"2,133",,"1,703",431,"1,071","1,063",0,0.328022493,3.842549203,40.58106842,7.029053421,0.60918463,8.62230553,38.98781631,33,3,61,30.7,12140,25030923,482,2079,23.18,Medium Poverty,Non-Title I,4.1,0.0,0.0,94.0
Westfield High Fairfax County Public Schools,"1,807",842,"2,206",300,"2,645",4,"2,632",17,"2,231",418,"1,277","1,370",2,0.113250283,23.70705927,11.51377878,25.63231408,0.226500566,4.492261231,34.31483579,24,0,75,28.4,16942,44611516,458,2641,17.34,Low Poverty,Non-Title I,3.6,10.3,1.0,96.9
William Byrd High Roanoke County Public Schools,721,386,"1,092",14,"1,105",2,"1,107",,938,169,500,607,0,0.180668473,1.535682023,6.865401987,5.058717254,0.090334237,4.60704607,81.66214995,39,0,61,28.6,10904,11875293,251,1102,22.78,Low Poverty,Non-Title I,7.5,0.0,0.0,94.8
William Campbell High Campbell County Public Schools,157,250,406,,405,2,404,,350,57,196,210,1,0.982800983,0.0,33.16953317,1.965601966,0.245700246,4.914004914,58.72235872,57,0,39,63.1,14052,5563588,103,400,25.75,Medium Poverty,Non-Title I,0.0,11.9,0.0,90.7
William Fleming High Roanoke City Public Schools,774,"1,054","1,527",257,"1,813",15,"1,798",30,"1,549",279,879,945,4,0.0,3.774617068,49.45295405,24.83588621,0.054704595,3.774617068,18.10722101,39,1,52,100.0,13646,24309290,690,1818,37.95,High Poverty,Title I,3.9,10.2,0.0,83.4
William Monroe High Greene County Public Schools,526,429,896,33,952,3,948,,810,145,458,497,0,0.104712042,1.989528796,6.910994764,12.35602094,0.104712042,8.795811518,69.7382199,40,1,53,34.0,11532,10701496,185,934,19.81,Medium Poverty,Non-Title I,4.1,13.7,0.0,95.2
Wilson Memorial High Augusta County Public Schools,511,312,805,15,816,7,818,,737,86,413,410,0,0.121506683,1.336573512,5.589307412,7.411907655,0.121506683,4.009720535,81.40947752,44,0,54,32.2,11279,9058111,165,813,20.3,Medium Poverty,Non-Title I,3.8,8.9,1.3,89.1
Windsor High Isle of Wight County Public Schools,268,282,547,,550,,548,,486,64,271,279,0,0.0,0.909090909,16.72727273,3.818181818,0.363636364,6.181818182,72.0,44,0,48,32.4,13045,6851355,214,522,41.0,Medium Poverty,Non-Title I,2.0,12.2,2.0,94.6
Woodbridge High Prince William County Public Schools,"1,462","1,374","2,437",261,"2,831",5,"2,831",,"2,513",323,"1,385","1,451",0,0.141043724,8.568406206,22.39069111,39.13963329,0.141043724,6.029619182,23.58956276,38,1,59,43.5,12540,35098484,861,2797,30.78,Medium Poverty,Non-Title I,13.6,5.1,3.4,91.9
Woodgrove High Loudoun County Public Schools,"1,380",186,"1,532",25,"1,562",4,"1,560",,"1,295",271,746,816,4,0.638569604,3.639846743,3.767560664,9.642401022,0.127713921,4.597701149,77.5862069,22,4,74,7.4,20435,31674570,292,1525,19.15,Low Poverty,Non-Title I,0.6,3.2,0.0,98.4
Woodside High Newport News City Public Schools,938,805,"1,708",18,"1,742",1,"1,737",,"1,527",216,952,791,0,0.516351119,3.098106713,53.81526104,13.31038439,0.573723465,8.318990247,20.36718302,33,1,50,76.5,13193,22533728,481,1702,28.26,High Poverty,Non-Title I,4.7,16.4,4.7,97.8
Woodson High Fairfax County Public Schools,"2,120",370,"2,306",118,"2,483",7,"2,484",,"2,056",434,"1,182","1,301",7,0.040160643,26.02409639,5.100401606,12.48995984,0.200803213,5.9437751,50.20080321,25,2,72,11.4,17198,42461047,634,2478,25.59,Low Poverty,Non-Title I,4.7,14.2,1.6,97.9
York High York County Public Schools,852,239,"1,071",13,"1,091",,"1,084",,970,121,544,547,0,0.274977085,4.03299725,12.46562786,10.26581118,0.366636114,9.349220898,63.24472961,42,4,52,20.1,9917,10645988,197,1076,18.31,Low Poverty,Non-Title I,2.0,0.0,0.0,98.4
Yorktown High Arlington County Public Schools,"2,142",391,"2,310",124,"2,530",3,"2,525",,"2,129",404,"1,222","1,310",1,0.157915515,6.474536123,5.132254244,15.87050928,0.039478879,8.014212396,64.31109356,22,1,75,11.7,17764,44337287,245,2529,9.69,Low Poverty,Non-Title I,6.3,1.1,0.0,96.6
