Sch_Div,Disadvantaged,Total Count
C. Alton Lindsay Middle Hampton City Public Schools,Y,451
C. Hunter Ritchie Elementary Fauquier County Public Schools,N,421
C. Hunter Ritchie Elementary Fauquier County Public Schools,Y,69
C.A. Sinclair Elementary Prince William County Public Schools,N,206
C.A. Sinclair Elementary Prince William County Public Schools,Y,596
C.C. Wells Elementary Chesterfield County Public Schools,N,391
C.C. Wells Elementary Chesterfield County Public Schools,Y,251
C.D. Hylton High Prince William County Public Schools,N,"1,093"
C.D. Hylton High Prince William County Public Schools,Y,985
C.E. Curtis Elementary Chesterfield County Public Schools,N,334
C.E. Curtis Elementary Chesterfield County Public Schools,Y,340
C.M. Bradley Elementary Fauquier County Public Schools,N,256
C.M. Bradley Elementary Fauquier County Public Schools,Y,90
Callaghan Elementary Alleghany County Public Schools,N,141
Callaghan Elementary Alleghany County Public Schools,Y,116
Callaway Elementary Franklin County Public Schools,N,94
Callaway Elementary Franklin County Public Schools,Y,72
Camelot Elementary Chesapeake City Public Schools,N,170
Camelot Elementary Chesapeake City Public Schools,Y,313
Camelot Elementary Fairfax County Public Schools,N,370
Camelot Elementary Fairfax County Public Schools,Y,218
Cameron Elementary Fairfax County Public Schools,N,205
Cameron Elementary Fairfax County Public Schools,Y,287
Camp Allen Elementary Norfolk City Public Schools,N,209
Camp Allen Elementary Norfolk City Public Schools,Y,204
Campbell Court Elementary Henry County Public Schools,N,65
Campbell Court Elementary Henry County Public Schools,Y,209
Campbell Elementary Arlington County Public Schools,N,228
Campbell Elementary Arlington County Public Schools,Y,198
Canterbury Woods Elementary Fairfax County Public Schools,N,671
Canterbury Woods Elementary Fairfax County Public Schools,Y,112
Capron Elementary Southampton County Public Schools,N,119
Capron Elementary Southampton County Public Schools,Y,74
Captain John Smith Elementary Hampton City Public Schools,N,157
Captain John Smith Elementary Hampton City Public Schools,Y,211
Cardinal Elementary Arlington County Public Schools,N,595
Cardinal Elementary Arlington County Public Schools,Y,63
Cardinal Elementary Richmond City Public Schools,N,536
Cardinal Elementary Richmond City Public Schools,Y,318
Cardinal Forest Elementary Fairfax County Public Schools,N,417
Cardinal Forest Elementary Fairfax County Public Schools,Y,170
Cardinal Ridge Elementary Loudoun County Public Schools,N,710
Cardinal Ridge Elementary Loudoun County Public Schools,Y,118
Carlin Springs Elementary Arlington County Public Schools,N,111
Carlin Springs Elementary Arlington County Public Schools,Y,433
Caroline High Caroline County Public Schools,N,685
Caroline High Caroline County Public Schools,Y,533
Caroline Middle Caroline County Public Schools,N,537
Caroline Middle Caroline County Public Schools,Y,435
Carroll County High Carroll County Public Schools,N,411
Carroll County High Carroll County Public Schools,Y,641
Carroll County Middle Carroll County Public Schools,N,194
Carroll County Middle Carroll County Public Schools,Y,572
Carrollton Elementary Isle of Wight County Public Schools,N,504
Carrollton Elementary Isle of Wight County Public Schools,Y,132
Carrsville Elementary Isle of Wight County Public Schools,N,152
Carrsville Elementary Isle of Wight County Public Schools,Y,90
Carson Middle Fairfax County Public Schools,N,"1,242"
Carson Middle Fairfax County Public Schools,Y,207
Carter G. Woodson Middle Hopewell City Public Schools,N,128
