Disabled,Total Count,Sch_Div
N,443,Altavista Elementary Campbell County Public Schools
Y,47,Altavista Elementary Campbell County Public Schools
N,603,Altavista High Campbell County Public Schools
Y,99,Altavista High Campbell County Public Schools
N,368,Brookneal Elementary Campbell County Public Schools
Y,43,Brookneal Elementary Campbell County Public Schools
N,874,Brookville High Campbell County Public Schools
Y,126,Brookville High Campbell County Public Schools
N,639,Brookville Middle Campbell County Public Schools
Y,95,Brookville Middle Campbell County Public Schools
N,358,Concord Elementary Campbell County Public Schools
Y,53,Concord Elementary Campbell County Public Schools
N,529,Leesville Road Elementary Campbell County Public Schools
Y,69,Leesville Road Elementary Campbell County Public Schools
N,375,Rustburg Elementary Campbell County Public Schools
Y,63,Rustburg Elementary Campbell County Public Schools
N,701,Rustburg High Campbell County Public Schools
Y,104,Rustburg High Campbell County Public Schools
N,515,Rustburg Middle Campbell County Public Schools
Y,90,Rustburg Middle Campbell County Public Schools
N,607,Tomahawk Elementary Campbell County Public Schools
Y,85,Tomahawk Elementary Campbell County Public Schools
N,350,William Campbell High Campbell County Public Schools
Y,57,William Campbell High Campbell County Public Schools
N,458,Yellow Branch Elementary Campbell County Public Schools
Y,103,Yellow Branch Elementary Campbell County Public Schools
N,621,Bowling Green Elementary Caroline County Public Schools
Y,115,Bowling Green Elementary Caroline County Public Schools
N,"1,050",Caroline High Caroline County Public Schools
Y,168,Caroline High Caroline County Public Schools
N,846,Caroline Middle Caroline County Public Schools
Y,126,Caroline Middle Caroline County Public Schools
N,782,Lewis and Clark Elementary Caroline County Public Schools
Y,89,Lewis and Clark Elementary Caroline County Public Schools
N,389,Madison Elementary Caroline County Public Schools
Y,52,Madison Elementary Caroline County Public Schools
N,875,Carroll County High Carroll County Public Schools
Y,177,Carroll County High Carroll County Public Schools
N,639,Carroll County Middle Carroll County Public Schools
Y,127,Carroll County Middle Carroll County Public Schools
N,127,Fancy Gap Elementary Carroll County Public Schools
Y,16,Fancy Gap Elementary Carroll County Public Schools
N,93,Gladesboro Elementary Carroll County Public Schools
Y,,Gladesboro Elementary Carroll County Public Schools
N,198,Gladeville Elementary Carroll County Public Schools
Y,51,Gladeville Elementary Carroll County Public Schools
N,367,Hillsville Elementary Carroll County Public Schools
Y,107,Hillsville Elementary Carroll County Public Schools
N,187,Laurel Elementary Carroll County Public Schools
Y,31,Laurel Elementary Carroll County Public Schools
N,163,Oakland Elementary Carroll County Public Schools
Y,34,Oakland Elementary Carroll County Public Schools
N,259,St. Paul Carroll County Public Schools
Y,59,St. Paul Carroll County Public Schools
N,227,Charles City County Elementary Charles City County Public Schools
Y,65,Charles City County Elementary Charles City County Public Schools
N,198,Charles City County High Charles City County Public Schools
Y,38,Charles City County High Charles City County Public Schools
N,140,Bacon District Elementary Charlotte County Public Schools
Y,20,Bacon District Elementary Charlotte County Public Schools
N,322,Central Middle Charlotte County Public Schools
Y,57,Central Middle Charlotte County Public Schools
N,408,Eureka Elementary Charlotte County Public Schools
Y,33,Eureka Elementary Charlotte County Public Schools
N,193,Phenix Elementary Charlotte County Public Schools
Y,21,Phenix Elementary Charlotte County Public Schools
N,428,Randolph-Henry High Charlotte County Public Schools
Y,80,Randolph-Henry High Charlotte County Public Schools
N,503,Buford Middle Charlottesville City Public Schools
Y,96,Buford Middle Charlottesville City Public Schools
N,287,Burnley-Moran Elementary Charlottesville City Public Schools
Y,35,Burnley-Moran Elementary Charlottesville City Public Schools
